id,v_21,v_32,v_15,v_4,v_1,v_8,v_12,v_25,v_20,v_18,v_3,v_11,v_14,v_26,v_27,v_30,v_9,v_31,v_28,v_13,v_33,v_17,v_19,v_29,v_23,v_24,v_10,v_5,v_6,v_22,v_0,v_7,v_2,v_16,v_34,v_35,v_36,v_37,v_38,v_39,v_40,label
0,3,6,11,55,1,1,16,5,60,30,17,1,0,0,1,0,0,26,0,14,29,48,24,22,3,15,25,37,14,28,12,13.9,-0.3,0.79,1,93,47,1,48,26,0,1
1,8,94,12,65,1,4,22,4,173,199,413,0,1,1,0,1,1,27,0,23,30,55,27,18,4,19,26,46,13,27,13,14.9,5.4,6.51,6,29,37,25,53,35,7,2
2,3,166,10,155,1,1,16,1,309,30,31,1,0,0,1,1,0,31,0,14,29,48,24,19,3,15,25,37,12,25,12,11.1,0.6,2.02,1,8,34,4,43,38,2,1
3,3,6,13,121,1,1,16,1,6,23,70,1,0,0,1,0,1,26,0,14,30,48,25,19,3,15,27,40,15,25,12,11.1,0.6,2.02,7,37,40,27,43,65,0,1
4,4,51,18,21,1,17,22,118,168,106,44,0,0,1,0,1,1,49,0,33,41,61,41,29,7,28,32,50,27,30,14,10.9,8.4,12.51,16,22,25,25,24,23,1,1
5,3,6,10,55,1,1,16,5,6,11,39,0,0,0,1,0,0,26,0,14,28,53,23,20,5,15,24,36,13,26,12,9.4,-0.8,-3.12,7,28,26,16,22,59,3,1
6,10,165,16,60,1,15,16,9,175,39,86,0,1,1,0,1,1,35,0,16,39,50,20,20,10,23,35,48,19,27,16,15.4,2.5,8.79,10,104,32,13,25,81,9,0
7,3,116,10,52,1,1,16,181,251,12,79,0,0,1,1,0,1,38,0,14,29,47,18,6,3,15,25,37,8,13,12,11.1,0.6,2.02,4,27,23,32,35,0,3,2
8,3,147,10,167,0,3,16,5,6,11,87,0,0,0,1,1,0,41,0,14,28,46,18,6,3,15,24,36,8,13,12,12.7,3.7,-1.7,8,13,24,1,38,47,1,0
9,3,166,10,54,1,1,16,183,278,103,87,1,0,0,1,1,0,29,0,18,35,54,23,19,3,19,31,43,12,26,12,8.9,1.4,3.51,8,98,22,17,47,51,5,0
10,3,167,10,100,1,16,16,1,168,30,44,0,0,1,0,0,0,31,0,19,32,53,25,19,3,19,28,45,12,26,12,8.9,1.4,3.51,1,2,19,31,15,52,5,0
11,8,152,12,79,1,10,19,173,243,11,9,0,1,1,0,1,0,36,0,18,28,52,20,15,8,19,28,39,15,22,16,15.6,11.6,8.32,18,34,17,34,41,42,8,0
12,4,116,10,54,1,12,16,181,251,103,104,0,0,0,0,1,0,46,0,14,29,47,18,6,3,15,25,39,8,13,12,10.8,1.4,1.74,1,64,50,34,57,39,0,0
13,3,116,10,20,0,1,16,110,251,38,79,0,0,1,0,0,0,39,0,14,29,55,20,16,3,15,25,37,11,25,12,11.1,0.6,2.02,9,79,46,7,16,38,5,0
14,3,147,10,55,1,14,16,183,251,36,45,1,0,0,1,0,1,29,0,16,30,56,21,19,5,16,24,43,13,26,13,10.8,1.4,1.74,7,77,13,22,51,14,2,1
15,3,89,14,155,1,1,16,183,278,38,70,1,0,0,0,0,0,27,0,14,29,53,21,17,3,15,25,43,11,25,12,9.4,-0.8,-3.12,8,52,48,5,46,71,3,0
16,3,89,13,155,1,1,16,1,6,23,44,1,0,0,1,1,0,26,0,14,29,51,23,17,3,15,25,37,14,25,12,9.4,-0.8,-3.12,3,19,50,21,2,13,2,0
17,3,6,10,121,1,1,16,110,251,103,87,1,0,0,1,0,1,27,0,14,31,49,25,18,3,15,27,39,15,25,12,12.7,3.7,-1.7,9,57,42,8,9,11,0,1
18,3,116,10,52,1,1,16,5,66,11,17,0,0,0,1,1,0,35,0,14,29,51,23,19,3,15,25,44,13,24,12,16.2,0.3,-0.92,6,40,12,23,60,24,0,1
19,3,72,11,121,1,1,16,3,278,23,87,1,0,0,1,0,1,27,0,14,31,53,25,18,3,15,27,43,15,25,12,10.8,1.4,1.74,6,95,29,17,3,57,5,1
20,3,12,18,123,1,7,24,187,285,106,91,0,1,1,1,1,1,31,0,23,37,52,26,24,8,21,35,52,18,26,15,17.5,11.8,-2.06,4,42,57,27,22,38,8,1
21,3,147,10,167,0,1,16,5,168,7,13,0,0,0,0,1,0,48,0,14,28,46,18,6,3,15,24,37,8,13,12,10.8,1.4,1.74,5,5,48,7,15,76,0,0
22,3,157,10,55,1,14,16,183,251,23,45,1,0,0,1,0,1,30,0,17,29,52,24,19,3,17,25,41,11,25,12,13.9,-0.3,0.79,5,36,23,18,38,8,3,1
23,3,147,10,20,0,1,85,181,251,103,87,1,0,0,1,0,0,33,1,22,39,57,33,19,3,26,32,44,19,25,12,13.9,-0.3,0.79,9,86,19,38,36,49,2,1
24,3,116,10,52,1,1,16,1,60,11,45,0,0,0,1,1,0,40,0,22,41,68,31,19,4,22,31,49,20,25,12,15.5,2.8,-4.06,6,73,26,16,51,44,0,1
25,3,157,10,100,1,14,16,110,6,103,87,0,0,0,1,0,1,29,0,17,29,48,24,18,3,17,25,38,14,25,12,13.9,-0.3,0.79,1,25,33,23,36,4,4,1
